,cat_total_funding,cat_funding_day,cat_funding_range_1_2,cat_company_age,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
202,5,2,4,4,Ahura Scientific,29500000.0,success,3,Health Care & Biotechnology,230.0,1663.0,20,North America
203,5,7,2,5,Aicent,17300000.0,success,2,Electronics,2629.0,539.0,22,North America
204,5,7,0,5,Air2Web,25000000.0,success,1,Electronics,2825.0,0.0,23,North America
205,5,2,5,5,AirClic,27500000.0,success,2,Information Technology,452.0,2520.0,23,North America
206,5,7,0,5,AirDefense,14000000.0,success,1,Electronics,2145.0,0.0,21,North America
207,1,1,0,0,AirDroids,929212.0,failure,1,Information Technology,136.0,0.0,9,North America
208,5,5,0,3,Aires Pharmaceuticals,20000000.0,success,1,Health Care & Biotechnology,1441.0,0.0,16,North America
209,5,2,0,5,Airespace,20000000.0,success,1,Information Technology,513.0,0.0,21,North America
210,5,8,4,6,AirNet Communications,12000000.0,success,2,Information Technology,10618.0,1016.0,48,North America
211,2,7,0,3,AirPatrol Corporation,3675000.0,success,1,Data Science,1935.0,0.0,16,North America
212,4,2,2,2,Airship Ventures,10500000.0,failure,2,Transportation,494.0,296.0,15,North America
213,8,8,5,5,Airspan Networks,141636020.0,success,11,Electronics,6454.0,2227.0,30,North America
214,5,7,2,4,AirTouch Communications,17506428.0,success,2,Electronics,2674.0,124.0,18,North America
215,8,7,2,4,AirWatch,225000000.0,success,2,Electronics,3707.0,81.0,19,North America
216,6,2,4,4,Airwide Solutions,38809920.0,success,3,Information Technology,322.0,1617.0,18,North America
217,5,5,2,1,AisleBuyer,11500000.0,success,2,Information Technology,691.0,202.0,13,North America
218,6,5,0,0,Ajubeo,38730470.0,success,1,Information Technology,963.0,0.0,11,North America
219,7,2,2,1,AdKeeper,43000000.0,failure,2,Media & Publishing,257.0,110.0,12,North America
220,5,2,3,4,AkaRx,26100000.0,success,5,Health Care & Biotechnology,233.0,690.0,17,North America
221,7,5,4,2,Akebia Therapeutics,83100000.0,success,4,Health Care & Biotechnology,988.0,1358.0,15,North America
222,5,2,2,4,Akimbi Systems,11300000.0,success,2,Information Technology,385.0,285.0,18,North America
223,1,5,2,1,Akimbo Financial,850000.0,success,2,Services,853.0,354.0,12,North America
224,7,1,4,4,Akorri Networks,53730000.0,success,5,Information Technology,124.0,1783.0,17,North America
225,3,7,0,5,Akrion,10000000.0,success,1,Media & Publishing,2744.0,0.0,23,North America
226,7,2,5,4,Akros Silicon,46953360.0,success,6,Media & Publishing,181.0,3510.0,17,North America
227,5,5,4,4,Aktino,30200000.0,success,2,Information Technology,862.0,1193.0,19,North America
228,8,7,4,5,Alarm.com,163000000.0,success,2,Information Technology,3335.0,1253.0,22,North America
229,2,7,0,4,AlchemyAPI,2000000.0,success,1,Information Technology,2967.0,0.0,17,North America
230,8,2,5,4,Alder Biopharmaceuticals,105000000.0,success,4,Health Care & Biotechnology,547.0,2484.0,18,North America
231,2,7,0,4,Aldexa Therapeutics,4793666.0,failure,1,Health Care & Biotechnology,3290.0,0.0,18,North America
232,2,7,0,4,Aldeyra Therapeutics,7791560.0,success,1,Health Care & Biotechnology,4046.0,0.0,18,North America
233,1,1,0,0,Alekto,50000.0,failure,1,Services,57.0,0.0,10,North America
234,3,2,2,0,AlephCloud Systems,9500000.0,failure,2,Information Technology,489.0,383.0,11,North America
235,8,8,0,6,Alere,400000000.0,success,1,Information Technology,10855.0,0.0,41,North America
236,1,8,0,5,Alexion Pharmaceuticals,31322.814,success,1,Health Care & Biotechnology,8492.0,0.0,30,North America
237,5,8,0,6,Alfa Leisure,10900000.0,failure,1,Manufacturing,13188.0,0.0,53,North America
238,2,5,0,5,alfabet,5200000.0,success,1,Real Estate,1362.0,0.0,24,North America
239,2,6,0,5,Alignent Software,6000000.0,success,1,Information Technology,1537.0,0.0,21,North America
240,8,2,0,0,Alignment Healthcare,125000000.0,failure,1,Health Care & Biotechnology,482.0,0.0,9,North America
241,6,2,0,0,AlikeAudience,38730470.0,failure,1,Commerce & Marketing,180.0,0.0,7,North America
242,8,2,5,4,Alimera Sciences,206050000.0,success,7,Health Care & Biotechnology,555.0,3576.0,19,North America
243,7,5,4,3,Alios BioPharma,73000000.0,success,3,Health Care & Biotechnology,1138.0,1880.0,16,North America
244,6,0,0,0,All Together Now,38730470.0,failure,1,Information Technology,0.0,0.0,11,North America
245,2,2,0,0,Allclasses,1500000.0,success,1,Information Technology,490.0,0.0,9,North America
246,2,5,4,1,AllDigital,3475204.0,success,4,Data Science,827.0,1130.0,13,North America
247,7,5,5,4,Allegiance (now MaritzCX),57262276.0,success,5,Data Science,730.0,2591.0,17,North America
248,6,8,0,6,Allegro Development Corporation,38730470.0,success,1,Information Technology,8796.0,0.0,38,North America
249,2,7,0,3,Allegro Diagnostics,5400000.0,success,1,Health Care & Biotechnology,2013.0,0.0,16,North America
250,8,5,2,5,Allegro Networks,110000000.0,failure,2,Game & Applications,642.0,123.0,22,North America
251,2,7,4,4,ALLO Communications,8135000.0,success,3,Electronics,2991.0,957.0,19,North America
252,8,5,5,5,Alloptic,109000000.0,failure,5,Commerce & Marketing,886.0,2373.0,23,North America
253,5,5,0,1,Alloy Digital,30000000.0,success,1,Media & Publishing,1526.0,0.0,13,North America
254,6,7,0,1,The Allstate Corporation,38730470.0,success,1,Services,2204.0,0.0,14,North America
255,2,5,3,4,Allurent,2000000.0,success,2,Information Technology,1045.0,833.0,17,North America
256,6,5,0,1,Alluring Logic,38730470.0,failure,1,Electronics,1433.0,0.0,13,North America
257,2,0,4,1,Allvoices,4276568.0,failure,2,Media & Publishing,0.0,1275.0,14,North America
258,2,7,2,5,Allworx,8500000.0,success,3,Information Technology,2588.0,315.0,24,North America
259,5,7,4,4,Allylix,30550000.0,success,3,Food & Agriculture,2158.0,1565.0,20,North America
260,7,2,2,1,Alnara Pharmaceuticals,55000000.0,success,2,Health Care & Biotechnology,303.0,455.0,14,North America
261,1,1,0,0,Alo Networks,445000.0,failure,1,Electronics,116.0,0.0,11,North America
262,2,6,0,5,Alpha and Omega Semiconductor,1750000.0,success,1,Media & Publishing,1643.0,0.0,22,North America
263,1,2,2,1,AlphaNation,650000.0,failure,3,Services,424.0,214.0,12,North America
264,6,7,0,5,AlphaSmart,38730470.0,success,1,Electronics,2711.0,0.0,30,North America
265,6,2,0,0,AlphaStripe,38730470.0,failure,1,Media & Publishing,210.0,0.0,10,North America
266,7,8,2,5,Alphatec Spine,58950000.0,success,2,Health Care & Biotechnology,8348.0,493.0,32,North America
267,7,5,0,2,Alta Devices,72000000.0,success,1,Manufacturing,1528.0,0.0,15,North America
268,1,2,0,0,AltaVitas,387996.0,failure,1,Health Care & Biotechnology,397.0,0.0,11,North America
269,1,8,0,6,Alternative Green Technologies,10000.0,failure,1,Information Technology,8363.0,0.0,35,North America
270,5,5,4,5,AlterPoint,28000000.0,success,4,Information Technology,757.0,1380.0,21,North America
271,5,7,0,5,Althea Technologies,23000000.0,success,1,Information Technology,3296.0,0.0,24,North America
272,1,8,0,5,AltiGen Communications,1000000.0,success,1,Commerce & Marketing,7353.0,0.0,28,North America
273,5,2,2,1,Altius Education,26600000.0,success,2,Information Technology,265.0,420.0,13,North America
