,name,funding_total_usd,status,funding_rounds,Industry_Group,funding_day,funding_range_1_2,company_age,Continent_Name
168,Adventure Central,3500000.0,success,1,Commerce & Marketing,1470.0,0.0,19,North America
169,Advertising Concepts,38730470.0,failure,1,Services,2153.0,0.0,28,North America
170,AdXpose,22800000.0,success,3,Media & Publishing,761.0,1523.0,17,North America
171,AdYouNet,1400000.0,failure,2,Media & Publishing,365.0,485.0,16,North America
172,Aegerion Pharmaceuticals,19814760.0,success,2,Health Care & Biotechnology,2004.0,105.0,17,North America
173,Aegis Lightwave,8000000.0,success,1,Information Technology,1977.0,0.0,22,North America
174,Aehr Test Systems,7857000.0,success,4,Information Technology,3183.0,10807.0,45,North America
175,AEP Networks,5000000.0,success,1,Information Technology,2548.0,0.0,24,North America
176,Aerie Pharmaceuticals,253614960.0,success,5,Health Care & Biotechnology,2069.0,1469.0,17,North America
177,Aerohive Networks,104952380.0,success,6,Electronics,181.0,2565.0,16,North America
178,Aeropostale,150000000.0,success,1,Other,10009.0,0.0,35,North America
179,AeroScout,49000000.0,success,4,Electronics,2982.0,1343.0,23,North America
180,Aerovance,120500000.0,failure,5,Health Care & Biotechnology,1182.0,1454.0,18,North America
181,Aesthera Corporation,6500000.0,success,1,Consumer Goods,411.0,0.0,18,North America
182,Aethlon Medical,17681234.0,success,12,Health Care & Biotechnology,3843.0,2175.0,23,North America
183,Affinity,85000000.0,success,2,Media & Publishing,0.0,823.0,16,North America
184,Affinium Pharmaceuticals,81800000.0,success,5,Health Care & Biotechnology,2641.0,2361.0,22,North America
185,Affordable Interior Systems,38730470.0,success,1,Consumer Goods,3652.0,0.0,33,North America
186,AGEIA Technologies,27500000.0,success,2,Game & Applications,1007.0,364.0,20,North America
187,Agencourt Bioscience,38730470.0,success,1,Health Care & Biotechnology,0.0,0.0,22,North America
188,Agencyport Software,1171300.0,success,1,Information Technology,4353.0,0.0,22,North America
189,AgentRave,45000.0,failure,1,Commerce & Marketing,31.0,0.0,7,North America
190,Agenus,171140000.0,success,5,Health Care & Biotechnology,5694.0,2241.0,28,North America
191,Aggregate Knowledge,74311930.0,success,8,Media & Publishing,0.0,3012.0,16,North America
192,Agiftidea.com,50000.0,failure,1,Commerce & Marketing,0.0,0.0,10,North America
193,Agile Therapeutics,111005000.0,success,7,Health Care & Biotechnology,4683.0,1927.0,25,North America
194,AgileZen,25000.0,success,1,Information Technology,258.0,0.0,13,North America
195,Agility Communications,168000000.0,success,4,Information Technology,1014.0,1610.0,24,North America
196,"Agillion, Inc.",40000000.0,failure,1,Information Technology,676.0,0.0,24,North America
197,AgInfoLink,12265000.0,failure,3,Information Technology,3717.0,1476.0,25,North America
198,Agios Pharmaceuticals,119823940.0,success,4,Health Care & Biotechnology,188.0,1228.0,14,North America
199,Agistics,2000000.0,success,1,Information Technology,313.0,0.0,17,North America
200,agnion Energy,38730470.0,success,1,Information Technology,1592.0,0.0,15,North America
201,AgraQuest,57100000.0,success,4,Health Care & Biotechnology,2959.0,2964.0,27,North America
202,Ahura Scientific,29500000.0,success,3,Health Care & Biotechnology,230.0,1663.0,20,North America
