,location,name,url,score,description,latitude,longitude
10907,Cassis,ESCAPADE OLIVADES,https://www.booking.com/hotel/fr/escapade-olivades.fr.html,,"Situé à Cassis, à 2,7 km de Bestouan et à 4,3 km du cap Canaille, l'ESCAPADE OLIVADES dispose de la climatisation. Cet établissement dispose d'une piscine privée et d'un parking privé gratuit. ",43.232181601114,5.552993680496
10908,Cassis,Villa Louise - Cassis vue Mer 5 chambres,https://www.booking.com/hotel/fr/villa-louise-cassis-vue-mer-5-chambres.fr.html,,"Villa Louise - Vue sur Cassis Doté d'une terrasse, l'établissement Mer 5 chambres est situé à Cassis, à 1,2 km de Bestouan et à 3,3 km du cap Canaille. ",43.2230815,5.5392296
10909,Cassis,Le Bèu-Bèu par Dodo-a-Cassis,https://www.booking.com/hotel/fr/le-beu-beu.fr.html, 8.6 ,"Cette chambre offre une vue sur la mer.La maison de vacances Le Bèu-Bèu par Dodo-a-Cassis est située à Cassis, à 300 mètres de Bestouan et à 6 km du cap Canaille. ",43.214989908798,5.535231305032
10910,Cassis,Villa Talabar,https://www.booking.com/hotel/fr/villa-talabar.fr.html,,"Offrant une vue sur la mer, la Villa Talabar de Cassis propose des hébergements, une salle de sport, un bar, un salon commun, un jardin et des installations de sports nautiques. ",43.2127256866826,5.53029646026611
10911,Cassis,Roc’canaille,https://www.booking.com/hotel/fr/roc-canaille.fr.html, 7.6 ,"Le Roc'canaille est situé à Cassis, à 500 mètres de Bestouan et à 7 km du cap Canaille, dans une région où vous pourrez faire de la randonnée. ",43.209561,5.525622
10912,Cassis,"""Côté Soubeyran"" Centre-ville, Garage, Piscine, Terrasse",https://www.booking.com/hotel/fr/studio-le-club-cassis.fr.html,,"Le ""Côté Soubeyran"" Centre-ville, Garage, Piscine, Terrasse est situé à Cassis. Situé à 2,8 km du cap Canaille, l'établissement dispose d'une terrasse. L'appartement bénéficie d'une piscine...",43.2179184754032,5.53863698220893
10913,Le Mont Saint Michel,Gite de la hudardiere,https://www.booking.com/hotel/fr/gite-de-la-hudardiere.fr.html, 9.2 ,"Situé au Mesnil-Ozenne, en Basse-Normandie, le Gite de la hudardiere dispose d'une terrasse et offre une vue sur le jardin. Elle se trouve à 14 km d'Avranches. ",48.667654,-1.195374
10914,Le Mont Saint Michel,Granville hyper centre,https://www.booking.com/hotel/fr/granville.fr.html, 8.7 ,"Le Gite Granville propose un hébergement doté de 2 chambres situé à Granville, à seulement 500 mètres de la plage et à 1 km du musée Christian Dior. ",48.8372680869888,-1.59418836236
10915,Le Mont Saint Michel,"Cocooning vue mer, appart à 300 m de la plage.",https://www.booking.com/hotel/fr/cocooning-vue-mer-appart-a-300-m-de-la-plage.fr.html, 5.2 ,"Cocooning vue mer, appart à 300 mètres de la plage. L'établissement bénéficie d'un emplacement à Granville, à seulement 60 mètres du musée d'art moderne Richard Anacréon et à 500 mètres du port de...",48.839103497243,-1.601297229122
10916,Le Mont Saint Michel,Appartement d'une chambre a Granville avec magnifique vue sur la mer et WiFi,https://www.booking.com/hotel/fr/apartment-rue-lecampion.fr.html,,"Appartement d'une Chambre à Granville avec magnifique Vue sur La mer et WiFi propose un hébergement avec connexion Wi-Fi gratuite à Granville, à 300 mètres de la plage de Plat Gousset, à 400 mètres du...",48.8372123382737,-1.60090055889549
10917,Le Mont Saint Michel,LA PROVÔTIERE,https://www.booking.com/hotel/fr/la-provotiere.fr.html,,L'établissement LA PROVÔTIERE est situé à Bourguenolles et dispose d'un barbecue. Cet hébergement climatisé se trouve à 22 km de Granville. ,48.7973519,-1.2977099
10918,Le Mont Saint Michel,"Appartement Granville, 2 pièces, 4 personnes - FR-1-361-4",https://www.booking.com/hotel/fr/apartment-granville-centre-appartement-au-deuxieme-etage.fr.html,,"L'Appartement Granville, 2 pièces, 4 personnes - FR-1-361-4 est situé à Granville, à 200 mètres de la plage de Plat Gousset, à 100 mètres du musée d'art moderne Richard Anacreon et à 800 mètres du...",48.8380579,-1.5983534
10919,Le Mont Saint Michel,Appartement lumineux au Plat Gousset,https://www.booking.com/hotel/fr/appartement-lumineux-au-plat-gousset.fr.html, 9.2 ,"Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, l'Appartement lumineux au Plat Gousset est situé à Granville, à seulement 90 mètres de la plage de Plat Gousset et à 100 mètres du...",48.8386874781471,-1.59831211378197
10920,Le Mont Saint Michel,Appartement cosy proche plage et centre ville,https://www.booking.com/hotel/fr/appartement-cosy-proche-plage-et-centre-ville.fr.html, 8.9 ,"L'Appartement cosy proche plage et centre ville est situé à Granville, à 400 mètres de la plage de Plat Gousset, à 1,2 km du musée d'art moderne Richard Anacréon et à 1,8 km du port de plaisance de...",48.8421444678533,-1.59017584750226
10921,Le Mont Saint Michel,"Appartement Granville, 2 pièces, 2 personnes - FR-1-361-2",https://www.booking.com/hotel/fr/apartment-granville-centre-ville-appartement-de-type-f2.fr.html,,"Situé à 80 mètres de la plage de Plat Gousset, à 200 mètres du musée d'art moderne Richard Anacréon et à moins de 1 km du port de plaisance de Granville, l'Appartement Granville, 2 pièces, 2 personnes...",48.8390745,-1.5970243
10922,Le Mont Saint Michel,L'APPART côté terrasse,https://www.booking.com/hotel/fr/appart-granville.fr.html, 9.3 ,"Offrant une vue sur la ville, L'APPART côté terrasse propose un hébergement avec une terrasse et une bouilloire, à environ 300 mètres de la plage de Plat Gousset. ",48.8371117358737,-1.59506678581238
10923,Le Mont Saint Michel,MON DADA,https://www.booking.com/hotel/fr/mon-dada.fr.html,,"Le MON DADA propose un hébergement à Granville, à 1,5 km du musée d'art moderne Richard Anacréon et à 1,8 km du port de plaisance de Granville. ",48.840076,-1.579781
10924,Le Mont Saint Michel,"Appartement Granville, 3 pièces, 4 personnes - FR-1-361-377",https://www.booking.com/hotel/fr/appartement-granville-3-pieces-4-personnes-fr-1-361-377.fr.html,,"L'Appartement Granville, 3 pièces, 4 personnes - FR-1-361-377 propose un hébergement à Granville, à 400 mètres du port de plaisance et à 600 mètres du terminal ferry. ",48.8374037,-1.5998961
10925,Le Mont Saint Michel,"Magnifique appartement, face au Port de Granville, avec vue sur mer, à 200 m du centre ville.",https://www.booking.com/hotel/fr/magnifique-appartement-face-au-port-de-granville-avec-vue-sur-mer-a-200-m-du-cen.fr.html, 9.5 ,"Le Magnifique appartement, face au Port de Granville, avec vue sur mer, à 200 m du centre ville. ",48.835763542661,-1.605595686508
10926,Le Mont Saint Michel,Le Petit Michelet,https://www.booking.com/hotel/fr/le-petit-michelet.fr.html, 8.3 ,"Offrant une vue sur la mer, Le Petit Michelet propose un hébergement doté d’un balcon à Granville, à 70 mètres de la plage du Plat Gousset et à 300 mètres du musée d'art moderne Richard Anacréon. ",48.8393386,-1.5968898
10927,Le Mont Saint Michel,Appartement d'une chambre a Hirel avec jardin clos et WiFi a 10 km de la plage,https://www.booking.com/hotel/fr/apartment-rue-du-littoral.fr.html,,"Situé à Hirel, à 10 km de la plage, l'Apartment with one bedroom in Hirel dispose d'un jardin clos, d'une connexion Wi-Fi et d'un barbecue. ",48.6122669,-1.83359710000002
